r,t,f,y,ProductionByTechnologyAnnual
"Atlantis_00A","BM_IMP","BM",2014,37.36509064
"Atlantis_00A","BM_IMP","BM",2015,35.38509064
"Atlantis_00A","BM_IMP","BM",2016,37.29509064
"Atlantis_00A","BM_IMP","BM",2017,39.28509064
"Atlantis_00A","BM_IMP","BM",2018,39.01509064
"Atlantis_00A","BM_IMP","BM",2019,33.58509064
"Atlantis_00A","BM_IMP","BM",2020,37.02509064
"Atlantis_00A","BM_IMP","BM",2021,29.32509064
"Atlantis_00A","BM_IMP","BM",2022,30.29509064
"Atlantis_00A","BM_IMP","BM",2023,29.70017383152
"Atlantis_00A","BM_IMP","BM",2024,30.00017383152
"Atlantis_00A","BM_IMP","BM",2025,30.29017383152
"Atlantis_00A","BM_IMP","BM",2026,30.97017383152
"Atlantis_00A","BM_IMP","BM",2027,31.65017383152
"Atlantis_00A","BM_IMP","BM",2028,31.50626114192
"Atlantis_00A","BM_IMP","BM",2029,32.19626114192
"Atlantis_00A","BM_IMP","BM",2030,32.87626114192
"Atlantis_00A","BM_IMP","BM",2031,33.56626114192
"Atlantis_00A","BM_IMP","BM",2032,34.24626114192
"Atlantis_00A","BM_IMP","BM",2033,34.92626114192
"Atlantis_00A","BM_IMP","BM",2034,35.60626114192
"Atlantis_00A","BM_IMP","BM",2035,36.28626114192
"Atlantis_00A","BM_IMP","BM",2036,32.79
"Atlantis_00A","BM_IMP","BM",2037,33.47
"Atlantis_00A","BM_IMP","BM",2038,34.1600000000001
"Atlantis_00A","BM_IMP","BM",2039,34.83
"Atlantis_00A","BM_IMP","BM",2040,35.51
"Atlantis_00A","BM_IMP","BM",2041,36.19
"Atlantis_00A","BM_IMP","BM",2042,36.87
"Atlantis_00A","BM_IMP","BM",2043,37.56
"Atlantis_00A","BM_IMP","BM",2044,38.24
"Atlantis_00A","BM_IMP","BM",2045,38.93
"Atlantis_00A","BM_IMP","BM",2046,39.6
"Atlantis_00A","BM_IMP","BM",2047,40.29
"Atlantis_00A","BM_IMP","BM",2048,40.97
"Atlantis_00A","BM_IMP","BM",2049,41.65
"Atlantis_00A","BM_IMP","BM",2050,42.34
"Atlantis_00A","BM_IMP","BM",2051,43.03
"Atlantis_00A","BM_IMP","BM",2052,43.71
"Atlantis_00A","BM_IMP","BM",2053,44.39
"Atlantis_00A","BM_IMP","BM",2054,45.08
"Atlantis_00A","BM_IMP","BM",2055,45.76
"Atlantis_00A","BM_IMP","BM_Distribution",2014,0
"Atlantis_00A","BM_IMP","BM_Distribution",2015,0
"Atlantis_00A","BM_IMP","BM_Distribution",2016,0
"Atlantis_00A","BM_IMP","BM_Distribution",2017,0
"Atlantis_00A","BM_IMP","BM_Distribution",2018,0
"Atlantis_00A","BM_IMP","BM_Distribution",2019,0
"Atlantis_00A","BM_IMP","BM_Distribution",2020,0
"Atlantis_00A","BM_IMP","BM_Distribution",2021,0
"Atlantis_00A","BM_IMP","BM_Distribution",2022,0
"Atlantis_00A","BM_IMP","BM_Distribution",2023,0
"Atlantis_00A","BM_IMP","BM_Distribution",2024,0
"Atlantis_00A","BM_IMP","BM_Distribution",2025,0
"Atlantis_00A","BM_IMP","BM_Distribution",2026,0
"Atlantis_00A","BM_IMP","BM_Distribution",2027,0
"Atlantis_00A","BM_IMP","BM_Distribution",2028,0
"Atlantis_00A","BM_IMP","BM_Distribution",2029,0
"Atlantis_00A","BM_IMP","BM_Distribution",2030,0
"Atlantis_00A","BM_IMP","BM_Distribution",2031,0
"Atlantis_00A","BM_IMP","BM_Distribution",2032,0
"Atlantis_00A","BM_IMP","BM_Distribution",2033,0
"Atlantis_00A","BM_IMP","BM_Distribution",2034,0
"Atlantis_00A","BM_IMP","BM_Distribution",2035,0
"Atlantis_00A","BM_IMP","BM_Distribution",2036,0
"Atlantis_00A","BM_IMP","BM_Distribution",2037,0
"Atlantis_00A","BM_IMP","BM_Distribution",2038,0
"Atlantis_00A","BM_IMP","BM_Distribution",2039,0
"Atlantis_00A","BM_IMP","BM_Distribution",2040,0
"Atlantis_00A","BM_IMP","BM_Distribution",2041,0
"Atlantis_00A","BM_IMP","BM_Distribution",2042,0
"Atlantis_00A","BM_IMP","BM_Distribution",2043,0
"Atlantis_00A","BM_IMP","BM_Distribution",2044,0
"Atlantis_00A","BM_IMP","BM_Distribution",2045,0
"Atlantis_00A","BM_IMP","BM_Distribution",2046,0
"Atlantis_00A","BM_IMP","BM_Distribution",2047,0
"Atlantis_00A","BM_IMP","BM_Distribution",2048,0
"Atlantis_00A","BM_IMP","BM_Distribution",2049,0
"Atlantis_00A","BM_IMP","BM_Distribution",2050,0
"Atlantis_00A","BM_IMP","BM_Distribution",2051,0
"Atlantis_00A","BM_IMP","BM_Distribution",2052,0
"Atlantis_00A","BM_IMP","BM_Distribution",2053,0
"Atlantis_00A","BM_IMP","BM_Distribution",2054,0
"Atlantis_00A","BM_IMP","BM_Distribution",2055,0
"Atlantis_00A","BM_IMP","BM_Industry",2014,0
"Atlantis_00A","BM_IMP","BM_Industry",2015,0
"Atlantis_00A","BM_IMP","BM_Industry",2016,0
"Atlantis_00A","BM_IMP","BM_Industry",2017,0
"Atlantis_00A","BM_IMP","BM_Industry",2018,0
"Atlantis_00A","BM_IMP","BM_Industry",2019,0
"Atlantis_00A","BM_IMP","BM_Industry",2020,0
"Atlantis_00A","BM_IMP","BM_Industry",2021,0
"Atlantis_00A","BM_IMP","BM_Industry",2022,0
"Atlantis_00A","BM_IMP","BM_Industry",2023,0
"Atlantis_00A","BM_IMP","BM_Industry",2024,0
"Atlantis_00A","BM_IMP","BM_Industry",2025,0
"Atlantis_00A","BM_IMP","BM_Industry",2026,0
"Atlantis_00A","BM_IMP","BM_Industry",2027,0
"Atlantis_00A","BM_IMP","BM_Industry",2028,0
"Atlantis_00A","BM_IMP","BM_Industry",2029,0
"Atlantis_00A","BM_IMP","BM_Industry",2030,0
"Atlantis_00A","BM_IMP","BM_Industry",2031,0
"Atlantis_00A","BM_IMP","BM_Industry",2032,0
"Atlantis_00A","BM_IMP","BM_Industry",2033,0
"Atlantis_00A","BM_IMP","BM_Industry",2034,0
"Atlantis_00A","BM_IMP","BM_Industry",2035,0
"Atlantis_00A","BM_IMP","BM_Industry",2036,0
"Atlantis_00A","BM_IMP","BM_Industry",2037,0
"Atlantis_00A","BM_IMP","BM_Industry",2038,0
"Atlantis_00A","BM_IMP","BM_Industry",2039,0
"Atlantis_00A","BM_IMP","BM_Industry",2040,0
"Atlantis_00A","BM_IMP","BM_Industry",2041,0
"Atlantis_00A","BM_IMP","BM_Industry",2042,0
"Atlantis_00A","BM_IMP","BM_Industry",2043,0
"Atlantis_00A","BM_IMP","BM_Industry",2044,0
"Atlantis_00A","BM_IMP","BM_Industry",2045,0
"Atlantis_00A","BM_IMP","BM_Industry",2046,0
"Atlantis_00A","BM_IMP","BM_Industry",2047,0
"Atlantis_00A","BM_IMP","BM_Industry",2048,0
"Atlantis_00A","BM_IMP","BM_Industry",2049,0
"Atlantis_00A","BM_IMP","BM_Industry",2050,0
"Atlantis_00A","BM_IMP","BM_Industry",2051,0
"Atlantis_00A","BM_IMP","BM_Industry",2052,0
"Atlantis_00A","BM_IMP","BM_Industry",2053,0
"Atlantis_00A","BM_IMP","BM_Industry",2054,0
"Atlantis_00A","BM_IMP","BM_Industry",2055,0
"Atlantis_00A","BM_IMP","BM_Residential",2014,0
"Atlantis_00A","BM_IMP","BM_Residential",2015,0
"Atlantis_00A","BM_IMP","BM_Residential",2016,0
"Atlantis_00A","BM_IMP","BM_Residential",2017,0
"Atlantis_00A","BM_IMP","BM_Residential",2018,0
"Atlantis_00A","BM_IMP","BM_Residential",2019,0
"Atlantis_00A","BM_IMP","BM_Residential",2020,0
"Atlantis_00A","BM_IMP","BM_Residential",2021,0
"Atlantis_00A","BM_IMP","BM_Residential",2022,0
"Atlantis_00A","BM_IMP","BM_Residential",2023,0
"Atlantis_00A","BM_IMP","BM_Residential",2024,0
"Atlantis_00A","BM_IMP","BM_Residential",2025,0
"Atlantis_00A","BM_IMP","BM_Residential",2026,0
"Atlantis_00A","BM_IMP","BM_Residential",2027,0
"Atlantis_00A","BM_IMP","BM_Residential",2028,0
"Atlantis_00A","BM_IMP","BM_Residential",2029,0
"Atlantis_00A","BM_IMP","BM_Residential",2030,0
"Atlantis_00A","BM_IMP","BM_Residential",2031,0
"Atlantis_00A","BM_IMP","BM_Residential",2032,0
"Atlantis_00A","BM_IMP","BM_Residential",2033,0
"Atlantis_00A","BM_IMP","BM_Residential",2034,0
"Atlantis_00A","BM_IMP","BM_Residential",2035,0
"Atlantis_00A","BM_IMP","BM_Residential",2036,0
"Atlantis_00A","BM_IMP","BM_Residential",2037,0
"Atlantis_00A","BM_IMP","BM_Residential",2038,0
"Atlantis_00A","BM_IMP","BM_Residential",2039,0
"Atlantis_00A","BM_IMP","BM_Residential",2040,0
"Atlantis_00A","BM_IMP","BM_Residential",2041,0
"Atlantis_00A","BM_IMP","BM_Residential",2042,0
"Atlantis_00A","BM_IMP","BM_Residential",2043,0
"Atlantis_00A","BM_IMP","BM_Residential",2044,0
"Atlantis_00A","BM_IMP","BM_Residential",2045,0
"Atlantis_00A","BM_IMP","BM_Residential",2046,0
"Atlantis_00A","BM_IMP","BM_Residential",2047,0
"Atlantis_00A","BM_IMP","BM_Residential",2048,0
"Atlantis_00A","BM_IMP","BM_Residential",2049,0
"Atlantis_00A","BM_IMP","BM_Residential",2050,0
"Atlantis_00A","BM_IMP","BM_Residential",2051,0
"Atlantis_00A","BM_IMP","BM_Residential",2052,0
"Atlantis_00A","BM_IMP","BM_Residential",2053,0
"Atlantis_00A","BM_IMP","BM_Residential",2054,0
"Atlantis_00A","BM_IMP","BM_Residential",2055,0
"Atlantis_00A","BM_IMP","DS",2014,0
"Atlantis_00A","BM_IMP","DS",2015,0
"Atlantis_00A","BM_IMP","DS",2016,0
"Atlantis_00A","BM_IMP","DS",2017,0
"Atlantis_00A","BM_IMP","DS",2018,0
"Atlantis_00A","BM_IMP","DS",2019,0
"Atlantis_00A","BM_IMP","DS",2020,0
"Atlantis_00A","BM_IMP","DS",2021,0
"Atlantis_00A","BM_IMP","DS",2022,0
"Atlantis_00A","BM_IMP","DS",2023,0
"Atlantis_00A","BM_IMP","DS",2024,0
"Atlantis_00A","BM_IMP","DS",2025,0
"Atlantis_00A","BM_IMP","DS",2026,0
"Atlantis_00A","BM_IMP","DS",2027,0
"Atlantis_00A","BM_IMP","DS",2028,0
"Atlantis_00A","BM_IMP","DS",2029,0
"Atlantis_00A","BM_IMP","DS",2030,0
"Atlantis_00A","BM_IMP","DS",2031,0
"Atlantis_00A","BM_IMP","DS",2032,0
"Atlantis_00A","BM_IMP","DS",2033,0
"Atlantis_00A","BM_IMP","DS",2034,0
"Atlantis_00A","BM_IMP","DS",2035,0
"Atlantis_00A","BM_IMP","DS",2036,0
"Atlantis_00A","BM_IMP","DS",2037,0
"Atlantis_00A","BM_IMP","DS",2038,0
"Atlantis_00A","BM_IMP","DS",2039,0
"Atlantis_00A","BM_IMP","DS",2040,0
"Atlantis_00A","BM_IMP","DS",2041,0
"Atlantis_00A","BM_IMP","DS",2042,0
"Atlantis_00A","BM_IMP","DS",2043,0
"Atlantis_00A","BM_IMP","DS",2044,0
"Atlantis_00A","BM_IMP","DS",2045,0
"Atlantis_00A","BM_IMP","DS",2046,0
"Atlantis_00A","BM_IMP","DS",2047,0
"Atlantis_00A","BM_IMP","DS",2048,0
"Atlantis_00A","BM_IMP","DS",2049,0
"Atlantis_00A","BM_IMP","DS",2050,0
"Atlantis_00A","BM_IMP","DS",2051,0
"Atlantis_00A","BM_IMP","DS",2052,0
"Atlantis_00A","BM_IMP","DS",2053,0
"Atlantis_00A","BM_IMP","DS",2054,0
"Atlantis_00A","BM_IMP","DS",2055,0
"Atlantis_00A","BM_IMP","DS_Distribution",2014,0
"Atlantis_00A","BM_IMP","DS_Distribution",2015,0
"Atlantis_00A","BM_IMP","DS_Distribution",2016,0
"Atlantis_00A","BM_IMP","DS_Distribution",2017,0
"Atlantis_00A","BM_IMP","DS_Distribution",2018,0
"Atlantis_00A","BM_IMP","DS_Distribution",2019,0
"Atlantis_00A","BM_IMP","DS_Distribution",2020,0
