r,l,t,m,y,RateOfActivity
"Atlantis_00A","ID","BM_IMP",1,2014,38.37976144
"Atlantis_00A","ID","BM_IMP",1,2015,36.39976144
"Atlantis_00A","ID","BM_IMP",1,2016,38.30976144
"Atlantis_00A","ID","BM_IMP",1,2017,40.29976144
"Atlantis_00A","ID","BM_IMP",1,2018,40.02976144
"Atlantis_00A","ID","BM_IMP",1,2019,34.59976144
"Atlantis_00A","ID","BM_IMP",1,2020,38.03976144
"Atlantis_00A","ID","BM_IMP",1,2021,30.33976144
"Atlantis_00A","ID","BM_IMP",1,2022,31.30976144
"Atlantis_00A","ID","BM_IMP",1,2023,30.56399690592
"Atlantis_00A","ID","BM_IMP",1,2024,31.1807320332
"Atlantis_00A","ID","BM_IMP",1,2025,31.4707320332
"Atlantis_00A","ID","BM_IMP",1,2026,31.7607320332
"Atlantis_00A","ID","BM_IMP",1,2027,32.0607320332
"Atlantis_00A","ID","BM_IMP",1,2028,31.3526789972
"Atlantis_00A","ID","BM_IMP",1,2029,31.6626789972
"Atlantis_00A","ID","BM_IMP",1,2030,31.8726789972
"Atlantis_00A","ID","BM_IMP",1,2031,31.8726789972
"Atlantis_00A","ID","BM_IMP",1,2032,31.8826789972
"Atlantis_00A","ID","BM_IMP",1,2033,27.0708845812
"Atlantis_00A","ID","BM_IMP",1,2034,27.0708845812
"Atlantis_00A","ID","BM_IMP",1,2035,27.0808845812
"Atlantis_00A","ID","BM_IMP",1,2036,27.19
"Atlantis_00A","ID","BM_IMP",1,2037,27.66
"Atlantis_00A","ID","BM_IMP",1,2038,28.15
"Atlantis_00A","ID","BM_IMP",1,2039,28.65
"Atlantis_00A","ID","BM_IMP",1,2040,29.08
"Atlantis_00A","ID","BM_IMP",1,2041,29.25
"Atlantis_00A","ID","BM_IMP",1,2042,29.43
"Atlantis_00A","ID","BM_IMP",1,2043,29.6
"Atlantis_00A","ID","BM_IMP",1,2044,29.78
"Atlantis_00A","ID","BM_IMP",1,2045,29.96
"Atlantis_00A","ID","BM_IMP",1,2046,30.14
"Atlantis_00A","ID","BM_IMP",1,2047,30.32
"Atlantis_00A","ID","BM_IMP",1,2048,30.52
