r,t,y,AnnualVariableOperatingCost
"Atlantis_00A","BM_IMP",2014,0.003736509064
"Atlantis_00A","BM_IMP",2015,0.003538509064
"Atlantis_00A","BM_IMP",2016,0.003729509064
"Atlantis_00A","BM_IMP",2017,0.003928509064
"Atlantis_00A","BM_IMP",2018,0.003901509064
"Atlantis_00A","BM_IMP",2019,0.003358509064
"Atlantis_00A","BM_IMP",2020,0.003702509064
"Atlantis_00A","BM_IMP",2021,0.002932509064
"Atlantis_00A","BM_IMP",2022,0.003029509064
"Atlantis_00A","BM_IMP",2023,0.002970017383152
"Atlantis_00A","BM_IMP",2024,0.003000017383152
"Atlantis_00A","BM_IMP",2025,0.003029017383152
"Atlantis_00A","BM_IMP",2026,0.003058017383152
"Atlantis_00A","BM_IMP",2027,0.003088017383152
"Atlantis_00A","BM_IMP",2028,0.003036626114192
"Atlantis_00A","BM_IMP",2029,0.003067626114192
"Atlantis_00A","BM_IMP",2030,0.003088626114192
"Atlantis_00A","BM_IMP",2031,0.003088626114192
"Atlantis_00A","BM_IMP",2032,0.003089626114192
"Atlantis_00A","BM_IMP",2033,0.003089626114192
"Atlantis_00A","BM_IMP",2034,0.003089626114192
"Atlantis_00A","BM_IMP",2035,0.003090626114192
"Atlantis_00A","BM_IMP",2036,0.002719
"Atlantis_00A","BM_IMP",2037,0.002766
"Atlantis_00A","BM_IMP",2038,0.002815
"Atlantis_00A","BM_IMP",2039,0.002865
"Atlantis_00A","BM_IMP",2040,0.002908
"Atlantis_00A","BM_IMP",2041,0.002925
"Atlantis_00A","BM_IMP",2042,0.002943
"Atlantis_00A","BM_IMP",2043,0.00296
"Atlantis_00A","BM_IMP",2044,0.002978
"Atlantis_00A","BM_IMP",2045,0.002996
"Atlantis_00A","BM_IMP",2046,0.003014
"Atlantis_00A","BM_IMP",2047,0.003032
"Atlantis_00A","BM_IMP",2048,0.003052
"Atlantis_00A","BM_IMP",2049,0.003071
"Atlantis_00A","BM_IMP",2050,0.003082
"Atlantis_00A","BM_IMP",2051,0.003101
"Atlantis_00A","BM_IMP",2052,0.00312
"Atlantis_00A","BM_IMP",2053,0.00314
"Atlantis_00A","BM_IMP",2054,0.003159
"Atlantis_00A","BM_IMP",2055,0.003179
"Atlantis_00A","BM_IND",2014,0.002565
"Atlantis_00A","BM_IND",2015,0.002475
"Atlantis_00A","BM_IND",2016,0.002664
"Atlantis_00A","BM_IND",2017,0.002892
"Atlantis_00A","BM_IND",2018,0.00286
"Atlantis_00A","BM_IND",2019,0.002451
"Atlantis_00A","BM_IND",2020,0.002722
"Atlantis_00A","BM_IND",2021,0.002062
"Atlantis_00A","BM_IND",2022,0.002166
"Atlantis_00A","BM_IND",2023,0.002189
"Atlantis_00A","BM_IND",2024,0.002213
"Atlantis_00A","BM_IND",2025,0.002236
"Atlantis_00A","BM_IND",2026,0.00226
"Atlantis_00A","BM_IND",2027,0.002284
"Atlantis_00A","BM_IND",2028,0.002308
"Atlantis_00A","BM_IND",2029,0.002333
"Atlantis_00A","BM_IND",2030,0.002351
"Atlantis_00A","BM_IND",2031,0.002351
"Atlantis_00A","BM_IND",2032,0.002351
"Atlantis_00A","BM_IND",2033,0.002351
"Atlantis_00A","BM_IND",2034,0.002351
"Atlantis_00A","BM_IND",2035,0.002351
"Atlantis_00A","BM_IND",2036,0.002397
"Atlantis_00A","BM_IND",2037,0.002443
"Atlantis_00A","BM_IND",2038,0.002491
"Atlantis_00A","BM_IND",2039,0.00254
"Atlantis_00A","BM_IND",2040,0.002581
"Atlantis_00A","BM_IND",2041,0.0026
"Atlantis_00A","BM_IND",2042,0.00262
"Atlantis_00A","BM_IND",2043,0.002639
"Atlantis_00A","BM_IND",2044,0.002659
"Atlantis_00A","BM_IND",2045,0.002679
"Atlantis_00A","BM_IND",2046,0.002699
